Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---na-
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spsa---
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spia---
ἄνω	a)/nw	ἄνω2	a)/nw2	d--------
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v3sasa---
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v2sfim---
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v3sfia---
ἄξει	a)/cei	ἄγω	a)/gw	v3sasa---
ἄξει	a)/cei	ἄγω	a)/gw	v2sfim---
ἄξει	a)/cei	ἄγω	a)/gw	v3sfia---
ἄξεταί	a)/cetai/	ἄγνυμι	a)/gnumi	v3sasm---
ἄξεταί	a)/cetai/	ἄγνυμι	a)/gnumi	v3sfim---
ἄξεταί	a)/cetai/	ἄγω	a)/gw	v3sasm---
ἄξεταί	a)/cetai/	ἄγω	a)/gw	v3sfim---
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---nn-
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---nv-
ἄξια	a)/cia	ἄξιος	a)/cios	a-p---na-
ἄξιος	a)/cios	ἄξιος	a)/cios	a-s---mn-
ἄξων	a)/cwn	ἄξος	a)/cos	n-p---mg-
ἄξων	a)/cwn	ἄξων	a)/cwn	n-s---mn-
ἄξων	a)/cwn	ἄξων	a)/cwn	n-s---mv-
ἄξων	a)/cwn	ἄγνυμι	a)/gnumi	v-sfpamn-
ἄξων	a)/cwn	ἄγω	a)/gw	v-sfpamn-
ἄπαγ’	a)/pag'	ἄπαγε	a)/page	d--------
ἄπαγ’	a)/pag'	ἀπάγω	a)pa/gw	v2spma---
ἄπαγ’	a)/pag'	ἀπάγω	a)pa/gw	v3siia---
ἄπαιδες	a)/paides	ἄπαις	a)/pais	n-p---mn-
ἄπαιδες	a)/paides	ἄπαις	a)/pais	n-p---mv-
ἄπαιδες	a)/paides	ἄπαις	a)/pais	n-p---fn-
ἄπαιδες	a)/paides	ἄπαις	a)/pais	n-p---fv-
ἄπαιδες	a)/paides	ἀπᾴδω	a)pa/|dw	v2siia---
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v2sama---
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v3saia---
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v3saia---
ἄπωθεν	a)/pwqen	ἄπωθεν	a)/pwqen	d--------
ἄρα	a)/ra	ἄρα	a)/ra	g--------
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nn-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nv-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---na-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nn-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nv-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---na-
ἄρδην	a)/rdhn	ἄρδην	a)/rdhn	d--------
ἄρδην	a)/rdhn	ἄρδω	a)/rdw	v--pna---
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---nn-
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---nv-
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---na-
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---nn-
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---nv-
ἄριστα	a)/rista	ἄριστον	a)/riston	n-p---na-
ἄριστα	a)/rista	ἄριστος	a)/ristos	a-p---nn-
ἄριστα	a)/rista	ἄριστος	a)/ristos	a-p---nv-
ἄριστα	a)/rista	ἄριστος	a)/ristos	a-p---na-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---ma-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nn-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nv-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---na-
ἄρξωμαι	a)/rcwmai	ἄρχω	a)/rxw	v1sasm---
ἄρχε	a)/rxe	ἄρχω	a)/rxw	v2spma---
ἄρχε	a)/rxe	ἄρχω	a)/rxw	v3siia---
ἄρχειν	a)/rxein	ἄρχω	a)/rxw	v--pna---
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppann-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppanv-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppana-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-sppama-
ἄρχοντα	a)/rxonta	ἄρχων	a)/rxwn	n-s---ma-
ἄρχων	a)/rxwn	ἄρχω	a)/rxw	v-sppamn-
ἄρχων	a)/rxwn	ἄρχων	a)/rxwn	n-s---mn-
ἄσεπτον	a)/septon	ἄσεπτος	a)/septos	n-s---ma-
ἄσεπτον	a)/septon	ἄσεπτος	a)/septos	n-s---fa-
ἄσεπτον	a)/septon	ἄσεπτος	a)/septos	n-s---nn-
ἄσεπτον	a)/septon	ἄσεπτος	a)/septos	n-s---nv-
ἄσεπτον	a)/septon	ἄσεπτος	a)/septos	n-s---na-
ἄσμενος	a)/smenos	ἄσμενος	a)/smenos	a-s---mn-
ἄσμενός	a)/smeno/s	ἄσμενος	a)/smenos	a-s---mn-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---nn-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---nv-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---na-
ἄταν	a)/tan	ἄτη	a)/th	n-s---fa-
ἄυπνον	a)/upnon	ἄυπνος	a)/upnos	n-s---ma-
ἄυπνον	a)/upnon	ἄυπνος	a)/upnos	n-s---fa-
ἄυπνον	a)/upnon	ἄυπνος	a)/upnos	n-s---nn-
ἄυπνον	a)/upnon	ἄυπνος	a)/upnos	n-s---nv-
ἄυπνον	a)/upnon	ἄυπνος	a)/upnos	n-s---na-
ἄφες	a)/fes	ἀφίημι	a)fi/hmi	v2sama---
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---ma-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---nn-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---nv-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---na-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---ma-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---fa-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---nn-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---nv-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---na-
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---mn-
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---fn-
ἄφυσσε	a)/fusse	ἀφύσσω	a)fu/ssw	v3saia---
ἄφυσσε	a)/fusse	ἀφύσσω	a)fu/ssw	v3siia---
ἄφυσσε	a)/fusse	ἀφύσσω	a)fu/ssw	v2spma---
ἄφυσσε	a)/fusse	ἀφύσσω	a)fu/ssw	v3siia---
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---nn-
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---nv-
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---na-
ἄχθομαί	a)/xqomai/	ἄχθομαι	a)/xqomai	v1spie---
ἄχθος	a)/xqos	ἄχθος	a)/xqos	n-s---nn-
ἄχθος	a)/xqos	ἄχθος	a)/xqos	n-s---nv-
ἄχθος	a)/xqos	ἄχθος	a)/xqos	n-s---na-
ἄχραντον	a)/xranton	ἄχραντος	a)/xrantos	n-s---ma-
ἄχραντον	a)/xranton	ἄχραντος	a)/xrantos	n-s---fa-
ἄχραντον	a)/xranton	ἄχραντος	a)/xrantos	n-s---nn-
ἄχραντον	a)/xranton	ἄχραντος	a)/xrantos	n-s---nv-
ἄχραντον	a)/xranton	ἄχραντος	a)/xrantos	n-s---na-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---ma-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---fa-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---nn-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---nv-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---na-
ἄωρον	a)/wron	ἄωροσ1	a)/wros1	n-s---ma-
ἄωρον	a)/wron	ἄωροσ1	a)/wros1	n-s---fa-
ἄωρον	a)/wron	ἄωροσ1	a)/wros1	n-s---nn-
ἄωρον	a)/wron	ἄωροσ1	a)/wros1	n-s---nv-
ἄωρον	a)/wron	ἄωροσ1	a)/wros1	n-s---na-
ἄωρον	a)/wron	ἄωροσ2	a)/wros2	n-s---ma-
ἄωρον	a)/wron	ἄωροσ2	a)/wros2	n-s---fa-
ἄωρον	a)/wron	ἄωροσ2	a)/wros2	n-s---nn-
ἄωρον	a)/wron	ἄωροσ2	a)/wros2	n-s---nv-
ἄωρον	a)/wron	ἄωροσ2	a)/wros2	n-s---na-
ἅ	a(/	ὁ	o(	l-s---fn-
ἅ	a(/	ὅς	o(/s	p-p---na-
ἅ	a(/	ὅς	o(/s	p-p---nn-
ἅ	a(/	ὅς	o(/s	p-d---fa-
ἅ	a(/	ὅς	o(/s	p-d---fn-
ἅ	a(/	ὅς	o(/s	p-s---fn-
ἅδε	a(/de	ἅδος	a(/dos	n-s---mv-
ἅδε	a(/de	ἁνδάνω	a(nda/nw	v3saia---
ἅδε	a(/de	ἁνδάνω	a(nda/nw	v2sama---
ἅδε	a(/de	ὅδε	o(/de	n-s---fn-
ἅδ’	a(/d'	ἅδος	a(/dos	n-s---mv-
ἅδ’	a(/d'	ἁνδάνω	a(nda/nw	v3saia---
ἅδ’	a(/d'	ἁνδάνω	a(nda/nw	v2sama---
ἅδ’	a(/d'	ὅδε	o(/de	n-s---fn-
ἅμα	a(/ma	ἅμα	a(/ma	d--------
ἅμιλλαν	a(/millan	ἅμιλλα	a(/milla	n-s---fa-
ἅν	a(/n	ὅς	o(/s	p-s---fa-
ἅπαν	a(/pan	ἅπας	a(/pas	a-s---nn-
ἅπαν	a(/pan	ἅπας	a(/pas	a-s---nv-
ἅπαν	a(/pan	ἅπας	a(/pas	a-s---na-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---nn-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---nv-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---na-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-s---ma-
ἅπας	a(/pas	ἅπας	a(/pas	a-s---mn-
ἅπας	a(/pas	ἅπας	a(/pas	a-s---mv-
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---md-
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---nd-
ἅρμα	a(/rma	ἅρμα	a(/rma	n-s---nn-
ἅρμα	a(/rma	ἅρμα	a(/rma	n-s---nv-
ἅρμα	a(/rma	ἅρμα	a(/rma	n-s---na-
ἅρμασιν	a(/rmasin	ἅρμα	a(/rma	n-p---nd-
ἅρμασίν	a(/rmasi/n	ἅρμα	a(/rma	n-p---nd-
ἅς	a(/s	ὅς	o(/s	p-p---fa-
ἅψαιτ’	a(/yait'	ἅπτω	a(/ptw	v3saom---
ἅψαιτ’	a(/yait'	ἅπτω	a(/ptw	v2paoa---
ἅψεται	a(/yetai	ἅπτω	a(/ptw	v3sasm---
ἅψεται	a(/yetai	ἅπτω	a(/ptw	v3sfim---
ἅψεται	a(/yetai	ἅπτω	a(/ptw	v3stie---
ἆρα	a)=ra	ἆρα	a)=ra	x--------
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆρχε	a)=rxe	ἄρχω	a)/rxw	v3siia---
ἆσσον	a)=sson	ἆσσον	a)=sson	d--------
Ἀγαμέμνονος	*)agame/mnonos	Ἀγαμέμνων	*)agame/mnwn	n-s---mg-
Ἀγαμέμνονά	*)agame/mnona/	Ἀγαμέμνων	*)agame/mnwn	n-s---ma-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-s---ma-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-s---md-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---mn-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---mv-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---ma-
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mn-
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mv-
Ἀγάμεμνον	*)aga/memnon	Ἀγαμέμνων	*)agame/mnwn	n-s---mv-
Ἀελίου	*)aeli/ou	ἀέλιος	a)e/lios	n-s---mg-
Ἀελίου	*)aeli/ou	ἥλιος	h(/lios	n-s---mg-
Ἀλεξάνδρου	*)aleca/ndrou	Ἀλέξανδρος	*)ale/candros	n-s---mg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---mg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---fg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---ng-
Ἀλφεόν	*)alfeo/n	Ἀλφεός	*)alfeo/s	n-s---ma-
Ἀλέξανδρον	*)ale/candron	Ἀλέξανδρος	*)ale/candros	n-s---ma-
Ἀλέξανδρον	*)ale/candron	ἀλέξανδρος	a)le/candros	n-s---ma-
Ἀλέξανδρον	*)ale/candron	ἀλέξανδρος	a)le/candros	n-s---fa-
Ἀλέξανδρον	*)ale/candron	ἀλέξανδρος	a)le/candros	n-s---nn-
Ἀλέξανδρον	*)ale/candron	ἀλέξανδρος	a)le/candros	n-s---nv-
Ἀλέξανδρον	*)ale/candron	ἀλέξανδρος	a)le/candros	n-s---na-
Ἀνομία	*)anomi/a	ἀνομία	a)nomi/a	n-d---fn-
Ἀνομία	*)anomi/a	ἀνομία	a)nomi/a	n-d---fv-
Ἀνομία	*)anomi/a	ἀνομία	a)nomi/a	n-d---fa-
Ἀνομία	*)anomi/a	ἀνομία	a)nomi/a	n-s---fn-
Ἀνομία	*)anomi/a	ἀνομία	a)nomi/a	n-s---fv-
Ἀπιδανόν	*)apidano/n	Ἀπιδανός	*)apidano/s	n-s---ma-
Ἀπώλεσέν	*)apw/lese/n	ἀπόλλυμι	a)po/llumi	v3saia---
Ἀργείαις	*)argei/ais	Ἀργεῖος	*)argei=os	a-p---fd-
Ἀργείαν	*)argei/an	Ἀργεῖος	*)argei=os	a-s---fa-
Ἀργείοις	*)argei/ois	Ἀργεῖος	*)argei=os	a-p---md-
Ἀργείοις	*)argei/ois	Ἀργεῖος	*)argei=os	a-p---nd-
Ἀργείους	*)argei/ous	Ἀργεῖος	*)argei=os	a-p---ma-
Ἀργείων	*)argei/wn	Ἀργεῖος	*)argei=os	a-p---fg-
Ἀργείων	*)argei/wn	Ἀργεῖος	*)argei=os	a-p---mg-
Ἀργείων	*)argei/wn	Ἀργεῖος	*)argei=os	a-p---ng-
Ἀργεῖοι	*)argei=oi	Ἀργεῖος	*)argei=os	a-p---mn-
Ἀργεῖοι	*)argei=oi	Ἀργεῖος	*)argei=os	a-p---mv-
Ἀργόθεν	*)argo/qen	Ἀργόθεν	*)argo/qen	d--------
Ἀρεθούσας	*)areqou/sas	Ἀρέθουσα	*)are/qousa	n-p---fa-
Ἀρεθούσας	*)areqou/sas	Ἀρέθουσα	*)are/qousa	n-s---fg-
Ἀρετά	*)areta/	Ἀρετή	*)areth/	n-s---fn-
Ἀρετά	*)areta/	Ἀρετή	*)areth/	n-s---fv-
Ἀρετά	*)areta/	ἀρετή	a)reth/	n-d---fn-
Ἀρετά	*)areta/	ἀρετή	a)reth/	n-d---fv-
Ἀρετά	*)areta/	ἀρετή	a)reth/	n-d---fa-
Ἀρετά	*)areta/	ἀρετή	a)reth/	n-s---fn-
Ἀρετά	*)areta/	ἀρετή	a)reth/	n-s---fv-
Ἀρετᾶς	*)areta=s	Ἀρετή	*)areth/	n-s---fg-
Ἀρετᾶς	*)areta=s	ἀρετάω	a)reta/w	v2spia---
Ἀρετᾶς	*)areta=s	ἀρετή	a)reth/	n-s---fg-
Ἀρτέμιδι	*)arte/midi	Ἄρτεμις	*)/artemis	n-s---fd-
Ἀρτέμιδος	*)arte/midos	Ἄρτεμις	*)/artemis	n-s---fg-
Ἀσωποῦ	*)aswpou=	Ἀσωπός	*)aswpo/s	n-s---mg-
Ἀτθίδας	*)atqi/das	Ἀτθίς	*)atqi/s	n-p---fa-
Ἀτρειδῶν	*)atreidw=n	Ἀτρείδης	*)atrei/dhs	n-p---mg-
Ἀτρειδῶν	*)atreidw=n	Ἀτρείδης	*)atrei/dhs	n-p---mg-
Ἀτρείδαις	*)atrei/dais	Ἀτρείδης	*)atrei/dhs	n-p---md-
Ἀτρείδαις	*)atrei/dais	Ἀτρείδης	*)atrei/dhs	n-p---md-
Ἀτρείδη	*)atrei/dh	Ἀτρείδης	*)atrei/dhs	n-s---mv-
Ἀτρείδη	*)atrei/dh	Ἀτρείδης	*)atrei/dhs	n-s---mv-
Ἀτρεύς	*)atreu/s	Ἀτρεύς	*)atreu/s	n-s---mn-
Ἀτρεΐδας	*)atrei+/das	Ἀτρείδης	*)atrei/dhs	n-s---mn-
Ἀτρεΐδας	*)atrei+/das	Ἀτρείδης	*)atrei/dhs	n-p---ma-
Ἀτρεΐδας	*)atrei+/das	Ἀτρείδης	*)atrei/dhs	n-p---ma-
Ἀτρεΐδας	*)atrei+/das	Ἀτρείδης	*)atrei/dhs	n-s---mn-
Ἀτρεῖδαι	*)atrei=dai	Ἀτρείδης	*)atrei/dhs	n-p---mn-
Ἀτρεῖδαι	*)atrei=dai	Ἀτρείδης	*)atrei/dhs	n-p---mv-
Ἀτρέα	*)atre/a	Ἀτρεύς	*)atreu/s	n-s---ma-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mg-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mg-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mn-
Ἀφροδίτας	*)afrodi/tas	Ἀφροδίτη	*)afrodi/th	n-p---fa-
Ἀφροδίτας	*)afrodi/tas	Ἀφροδίτη	*)afrodi/th	n-s---fg-
Ἀφροδίτας	*)afrodi/tas	Ἀφροδίτη	*)afrodi/th	n-p---fa-
Ἀφροδίτας	*)afrodi/tas	Ἀφροδίτη	*)afrodi/th	n-s---fg-
Ἀφροδίτη	*)afrodi/th	Ἀφροδίτη	*)afrodi/th	n-s---fn-
Ἀφροδίτη	*)afrodi/th	Ἀφροδίτη	*)afrodi/th	n-s---fv-
Ἀφροδίτη	*)afrodi/th	Ἀφροδίτη	*)afrodi/th	n-s---fn-
Ἀφροδίτη	*)afrodi/th	Ἀφροδίτη	*)afrodi/th	n-s---fv-
Ἀφροδίτην	*)afrodi/thn	Ἀφροδίτη	*)afrodi/th	n-s---fa-
Ἀφροδίτην	*)afrodi/thn	Ἀφροδίτη	*)afrodi/th	n-s---fa-
Ἀφροδίτης	*)afrodi/ths	Ἀφροδίτη	*)afrodi/th	n-s---fg-
Ἀφροδίτης	*)afrodi/ths	Ἀφροδίτη	*)afrodi/th	n-s---fg-
Ἀχαιοί	*)axaioi/	Ἀχαιός	*)axaio/s	a-p---mn-
Ἀχαιοί	*)axaioi/	Ἀχαιός	*)axaio/s	a-p---mv-
Ἀχαιοῖς	*)axaioi=s	Ἀχαιός	*)axaio/s	a-p---md-
Ἀχαιοῖς	*)axaioi=s	Ἀχαιός	*)axaio/s	a-p---nd-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---fg-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---mg-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---ng-
Ἀχαιῶν	*)axaiw=n	ἀχαιά	a)xaia/	n-p---fg-
Ἀχιλεύς	*)axileu/s	Ἀχιλλεύς	*)axilleu/s	n-s---mn-
Ἀχιλεύς	*)axileu/s	Ἀχιλλεύς	*)axilleu/s	n-s---mn-
Ἀχιλλείου	*)axillei/ou	Ἀχίλλειος	*)axi/lleios	a-s---mg-
Ἀχιλλείου	*)axillei/ou	Ἀχίλλειος	*)axi/lleios	a-s---ng-
Ἀχιλλεῖ	*)axillei=	Ἀχιλλεύς	*)axilleu/s	n-s---md-
Ἀχιλλεῦ	*)axilleu=	Ἀχιλλεύς	*)axilleu/s	n-s---mv-
Ἀχιλλεῦ	*)axilleu=	Ἀχιλλεύς	*)axilleu/s	n-s---mv-
Ἀχιλλέα	*)axille/a	Ἀχιλλεύς	*)axilleu/s	n-s---ma-
Ἀχιλλέα	*)axille/a	Ἀχιλλεύς	*)axilleu/s	n-s---ma-
Ἀχιλῆα	*)axilh=a	Ἀχιλλεύς	*)axilleu/s	n-s---ma-
Ἄδραστος	*)/adrastos	Ἄδραστος	*)/adrastos	n-s---mn-
Ἄδραστος	*)/adrastos	ἄδραστος	a)/drastos	n-s---mn-
Ἄδραστος	*)/adrastos	ἄδραστος	a)/drastos	n-s---fn-
Ἄργει	*)/argei	Ἄργος	*)/argos	n-d---nn-
Ἄργει	*)/argei	Ἄργος	*)/argos	n-d---nv-
Ἄργει	*)/argei	Ἄργος	*)/argos	n-d---na-
Ἄργει	*)/argei	Ἄργος	*)/argos	n-s---nd-
Ἄργει	*)/argei	Ἄργος	*)/argos	n-s---nd-
Ἄργει	*)/argei	ἀργέω	a)rge/w	v3siia---
Ἄργει	*)/argei	ἀργέω	a)rge/w	v2spma---
Ἄργει	*)/argei	ἀργέω	a)rge/w	v3siia---
Ἄργος	*)/argos	Ἄργος	*)/argos	n-s---nn-
Ἄργος	*)/argos	Ἄργος	*)/argos	n-s---nv-
Ἄργος	*)/argos	Ἄργος	*)/argos	n-s---na-
Ἄργος	*)/argos	Ἄργος	*)/argos	n-s---mn-
Ἄργους	*)/argous	Ἄργος	*)/argos	n-s---ng-
Ἄρει	*)/arei	Ἄρευς	*)/areus	n-s---md-
Ἄρει	*)/arei	Ἄρευς	*)/areus	n-s---md-
Ἄρει	*)/arei	Ἄρης	*)/arhs	n-s---md-
Ἄρει	*)/arei	Ἄρης	*)/arhs	n-s---md-
Ἄρει	*)/arei	Ἄρης	*)/arhs	n-s---md-
Ἄρει	*)/arei	Ἄρης	*)/arhs	n-s---md-
Ἄρει	*)/arei	Ἄρις	*)/aris	n-d---fn-
Ἄρει	*)/arei	Ἄρις	*)/aris	n-d---fv-
Ἄρει	*)/arei	Ἄρις	*)/aris	n-d---fa-
Ἄρει	*)/arei	Ἄρις	*)/aris	n-s---fd-
Ἄρει	*)/arei	Ἄρις	*)/aris	n-s---fd-
Ἄρει	*)/arei	ἄρος	a)/ros	n-d---nn-
Ἄρει	*)/arei	ἄρος	a)/ros	n-d---nv-
Ἄρει	*)/arei	ἄρος	a)/ros	n-d---na-
Ἄρει	*)/arei	ἄρος	a)/ros	n-s---nd-
Ἄρει	*)/arei	ἄρος	a)/ros	n-s---nd-
Ἄρει	*)/arei	ἀρέμ	a)re/m	n-s---fv-
Ἄρει	*)/arei	ἀρέμ	a)re/m	n-s---fd-
Ἄρει	*)/arei	αἴρω	ai)/rw	v3sasa---
Ἄρεος	*)/areos	Ἄρεος	*)/areos	a-s---mn-
Ἄρεος	*)/areos	Ἄρευς	*)/areus	n-s---mg-
Ἄρεος	*)/areos	Ἄρης	*)/arhs	n-s---mg-
Ἄρεος	*)/areos	Ἄρης	*)/arhs	n-s---mg-
Ἄρεος	*)/areos	Ἄρις	*)/aris	n-s---fg-
Ἄρεος	*)/areos	ἄρος	a)/ros	n-s---ng-
Ἄρη	*)/arh	Ἄρευς	*)/areus	n-s---ma-
Ἄρη	*)/arh	Ἄρης	*)/arhs	n-s---ma-
Ἄρη	*)/arh	Ἄρης	*)/arhs	n-s---mv-
Ἄρη	*)/arh	Ἄρης	*)/arhs	n-s---ma-
Ἄρη	*)/arh	Ἄρης	*)/arhs	n-s---mv-
Ἄρη	*)/arh	Ἄρις	*)/aris	n-d---fn-
Ἄρη	*)/arh	Ἄρις	*)/aris	n-d---fv-
Ἄρη	*)/arh	Ἄρις	*)/aris	n-d---fa-
Ἄρη	*)/arh	ἄρος	a)/ros	n-p---nn-
Ἄρη	*)/arh	ἄρος	a)/ros	n-p---nv-
Ἄρη	*)/arh	ἄρος	a)/ros	n-p---na-
Ἄρη	*)/arh	ἄρος	a)/ros	n-d---nn-
Ἄρη	*)/arh	ἄρος	a)/ros	n-d---nv-
Ἄρη	*)/arh	ἄρος	a)/ros	n-d---na-
Ἄρης	*)/arhs	Ἄρης	*)/arhs	n-s---mn-
Ἄρης	*)/arhs	Ἄρης	*)/arhs	n-s---mn-
Ἄρης	*)/arhs	Ἄρης	*)/arhs	n-s---mn-
Ἄρης	*)/arhs	Ἄρης	*)/arhs	n-s---mn-
Ἄρης	*)/arhs	Ἄρις	*)/aris	n-p---fn-
Ἄρης	*)/arhs	Ἄρις	*)/aris	n-p---fv-
Ἄρτεμιν	*)/artemin	Ἄρτεμις	*)/artemis	n-s---fa-
Ἄρτεμις	*)/artemis	Ἄρτεμις	*)/artemis	n-s---fn-
Ἅιδης	*(/aidhs	Ἅιδης	*(/aidhs	n-s---mn-
Ἅιδῃ	*(/aidh|	Ἅιδης	*(/aidhs	n-s---md-
Ἆρά	*)=ara/	ἆρα	a)=ra	x--------
Ἆρά	*)=ara/	αἴρω	ai)/rw	v1saia---
Ἆρά	*)=ara/	αἴρω	ai)/rw	v1saia---
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-p---nn-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-p---nv-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-p---na-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-s---mv-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-p---fn-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-p---fv-
ἐατέ’	e)ate/'	ἐατέος	e)ate/os	n-s---fd-
ἐβλαστήκασ’	e)blasth/kas'	βλαστάνω	blasta/nw	v3pria---
ἐβλαστήκασ’	e)blasth/kas'	βλαστάω	blasta/w	v3pria---
ἐβουλόμην	e)boulo/mhn	βούλομαι	bou/lomai	v1siie---
ἐβοᾶτ’	e)boa=t'	βοάω	boa/w	v3siie---
ἐβοᾶτ’	e)boa=t'	βοάω	boa/w	v2piia---
ἐγγίγνεται	e)ggi/gnetai	ἐγγίγνομαι	e)ggi/gnomai	v3spie---
